City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,nouadhibou,20.931,-17.0347,30.99,58,13,5.14,MR,1693413695
329,nova sintra,14.8667,-24.7167,23.17,87,100,7.31,CV,1693413695
330,nova xavantina,-14.6667,-52.35,38.12,28,7,1.22,BR,1693413695
331,novyy urgal,51.0736,132.5642,14.05,83,100,0.27,RU,1693413696
332,nushki,29.5542,66.0215,31.07,10,0,1.51,PK,1693413696
333,nuuk,64.1835,-51.7216,2.34,93,100,3.6,GL,1693413696
334,obo,5.3998,26.4869,22.4,89,97,0.48,CF,1693413696
335,ocean city,39.2776,-74.5746,26.77,77,100,4.04,US,1693413696
336,okha,53.5739,142.9478,11.23,92,92,3.48,RU,1693413696
337,ola,59.5833,151.2833,11.36,97,98,1.52,RU,1693413696
338,olonkinbyen,70.9221,-8.7187,5.03,86,61,2.5,SJ,1693413696
339,oriximina,-1.7656,-55.8661,38.61,25,0,2.66,BR,1693413696
340,ostersund,63.1792,14.6357,17.01,77,20,1.54,SE,1693413696
341,ouesso,1.6136,16.0517,26.68,62,19,0.47,CG,1693413696
342,ovalle,-30.5983,-71.2003,26.06,22,0,2.98,CL,1693413696
343,ozark,37.0209,-93.206,28.54,66,0,4.29,US,1693413696
344,pacific grove,36.6177,-121.9166,23.01,71,0,4.47,US,1693413600
345,pagsangahan,13.2158,122.5431,27.96,83,100,11.06,PH,1693413696
346,palikir - national government center,6.9248,158.1611,27.99,74,100,4.27,FM,1693413696
347,palmer,42.1584,-72.3287,24.48,84,75,1.54,US,1693413697
348,palu,-0.8917,119.8707,24.24,93,43,1.35,ID,1693413697
349,panaba,21.2833,-88.2667,34.65,46,4,3.24,MX,1693413697
350,papao,-17.75,-149.55,22.82,81,100,3.04,PF,1693413697
351,papatowai,-46.5619,169.4708,6.38,81,79,3.23,NZ,1693413697
352,paradip garh,20.3167,86.6167,29.4,70,96,2.95,IN,1693413697
353,paramonga,-10.6667,-77.8333,21.99,70,54,4.11,PE,1693413697
354,paris,48.8534,2.3488,20.59,52,75,5.66,FR,1693413692
355,peace river,56.2501,-117.286,17.17,88,100,1.54,CA,1693413697
356,pemba,-12.974,40.5178,25.39,83,20,6.69,MZ,1693413697
357,persembe,41.0656,37.7714,26.68,80,0,3.31,TR,1693413697
358,pesqueira,-8.3578,-36.6964,32.92,22,0,6.08,BR,1693413697
359,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,100,20,3.0,RU,1693413697
360,phan rang-thap cham,11.5667,108.9833,25.88,89,98,1.66,VN,1693413697
361,phek,25.6667,94.5,16.18,99,66,0.55,IN,1693413698
362,pinheiro machado,-31.5783,-53.3811,19.47,61,0,2.36,BR,1693413698
363,pirallahi,40.4723,50.333,23.08,53,0,3.12,AZ,1693413698
364,pisco,-13.7,-76.2167,21.03,68,0,4.12,PE,1693413698
